,Sub,Version,Type,ID,RT1,RT2,RT3,RT4,RT5,RT6,Ans,AnsSpeed
913,5,B,3,8,1.000618147,0.867129974,0.867164316,0.733806404,0.833431489,1.350494478,1,1.217135777
914,5,B,3,3,0.767100291,0.71714604,1.350533556,1.11721346,0.783783944,0.7504569,1,1.767378575
915,5,B,2,37,0.833860956,1.150568529,0.917212512,3.083802733,0.700532649,1.117168066,0,2.150515636
916,5,B,3,4,0.63380593,0.700572911,0.93388985,0.817109409,0.667161395,0.633298702,1,1.433768668
917,5,B,3,9,0.583643262,0.68371005,0.767042265,0.717222617,0.633815404,0.683797286,1,2.283804865
918,5,B,1,16,0.567050791,0.667229683,0.834077662,0.733852982,0.683824917,0.850590792,0,4.517449824
919,5,B,1,2,0.483649499,0.533826772,0.683887284,0.700468702,0.600759934,1.866822085,1,3.417358562
920,5,B,1,3,0.516524182,0.617080041,0.783822233,1.183689524,1.16725534,3.083837864,1,3.767181605
921,5,B,2,42,0.650371954,1.03384414,0.833733853,0.717261696,0.850386322,1.317391641,1,4.417258696
922,5,B,3,1,0.467210973,0.700561069,0.71702091,0.700505412,0.583843785,0.483776207,1,1.38380218
923,5,B,2,43,0.650401953,0.667086791,0.717290906,0.767688833,0.600595332,1.483872521,1,1.867272472
924,5,B,1,19,0.883840864,0.867214052,0.800526412,0.96722242,0.883896915,2.217088015,1,2.283782365
925,5,B,3,24,0.600470202,0.750440321,0.833418858,0.883809285,0.783454739,0.850556056,1,2.033810193
926,5,B,2,52,0.617093462,0.850749474,0.700456071,0.833827798,1.983848837,0.833731484,1,1.250379138
927,5,B,3,28,0.633391069,0.683934652,0.86674906,0.817505718,0.750506241,2.850539083,1,1.333828982
928,5,B,2,53,0.750368086,0.650550372,0.733561277,0.817128356,0.833857798,3.500627226,1,3.917670794
929,5,B,3,30,0.750419795,0.817175723,0.683877811,0.833718853,0.650534977,1.683911363,1,1.917206986
930,5,B,1,18,0.633526067,0.683880574,0.750117432,1.133822114,0.700530675,,1,3.067196052
931,5,B,3,43,1.250580056,0.733783115,0.68377597,0.783420398,0.717401825,0.800408782,1,1.333702669
932,5,B,3,48,0.683791759,0.767122001,0.800511017,0.617244249,0.967101238,1.017370088,1,1.08374905
933,5,B,1,23,0.817359273,0.750158089,0.63379922,0.717018147,0.733445226,0.900588463,1,3.267334365
934,5,B,2,51,0.600177707,0.600437045,2.450412453,0.800374046,0.883964809,0.717094725,1,1.166908768
935,5,B,3,29,0.733741668,0.867211683,0.950230088,0.650546819,0.767099106,0.700510149,1,1.183857285
